Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Rafael Nadal,1981.1644325601105,73.11284937602919,1242,1030,0,212,0
Novak Djokovic,1973.1705951742408,75.2756947895803,1157,962,0,195,0
Roger Federer,1906.934623802584,86.44687872029282,1492,1236,0,256,8
Stefanos Tsitsipas,1876.9006281312097,67.53631222637917,248,164,0,84,0
Daniil Medvedev,1872.594070473479,72.46949882466349,263,175,0,88,0
Andrey Rublev,1855.7310745836762,69.20028140421813,255,160,0,95,0
Alexander Zverev,1851.8205976810818,68.06606164082432,397,265,0,132,0
Aslan Karatsev,1829.2249177723459,77.23348082379637,41,24,0,17,0
Dominic Thiem,1809.9397374641658,71.7366626369604,472,308,0,164,0
Jannik Sinner,1799.9057616234065,68.06707134291605,76,47,0,29,0
Matteo Berrettini,1794.1162836857081,69.32684583103008,146,89,0,57,0
Roberto Bautista Agut,1764.7038240874058,67.10956555471142,524,329,0,195,0
Casper Ruud,1755.0308160248844,66.78358541994959,131,74,0,57,1
Milos Raonic,1754.653131583485,69.73177093310225,560,377,0,183,6
Nick Kyrgios,1743.3798199275952,78.54895683214082,262,166,0,96,11
Pablo Carreno Busta,1737.2518403758475,69.7572582794476,381,208,0,173,0
Lorenzo Sonego,1735.0267819915687,68.13362986379057,105,52,0,53,0
Kei Nishikori,1718.1726541331113,70.82740240320204,627,418,0,209,0
John Isner,1717.5203916347414,73.91689222701982,713,439,0,274,1
Grigor Dimitrov,1714.0844168676156,70.99547595023658,554,335,0,219,0
Alejandro Davidovich Fokina,1713.9141068882918,68.60552199597268,58,31,0,27,0
Daniel Evans,1703.9703051912916,68.25027410072386,176,85,0,91,0
Marton Fucsovics,1703.1820075230585,69.33558714427089,189,98,0,91,0
Stan Wawrinka,1694.9178903941995,72.31481580994115,849,536,0,313,8
Hubert Hurkacz,1691.5257724986548,69.90297429741207,124,63,0,61,0
Borna Coric,1690.3107466373483,68.37532325477241,309,166,0,143,9
Vasek Pospisil,1690.1521405792453,72.6037525389653,280,123,0,157,6
Diego Schwartzman,1689.7578877132762,70.07943284274916,332,180,0,152,0
Felix Auger Aliassime,1689.6555280122013,67.57109539483456,138,77,0,61,0
Kevin Anderson,1687.069406441592,75.51961225833826,584,346,0,238,2
Andy Murray,1683.714441615344,80.60532787240572,893,686,0,207,9
Marin Cilic,1679.2417852165665,70.28150209185388,821,527,0,294,0
Christian Garin,1677.9621153947965,68.81200194620024,112,60,0,52,17
Denis Shapovalov,1677.6076424359192,68.64771406337066,208,115,0,93,0
Jeremy Chardy,1676.7020104273577,68.59993136486558,590,294,0,296,1
Albert Ramos,1673.927632589475,67.1125593164436,489,236,0,253,1
Cameron Norrie,1672.6645115561457,67.87513939579954,140,70,0,70,0
Alexander Bublik,1666.602955625258,66.42119353706249,107,54,0,53,0
Alex De Minaur,1665.1035842574238,69.6838585418414,160,93,0,67,0
