tourney_date,tourney_name,surface,round,best_of,winner_name,loser_name,score
2021-04-12,Monte Carlo Masters,Clay,F,3,Stefanos Tsitsipas,Andrey Rublev,6-3 6-3
2021-04-12,Monte Carlo Masters,Clay,SF,3,Stefanos Tsitsipas,Daniel Evans,6-2 6-1
2021-04-12,Monte Carlo Masters,Clay,SF,3,Andrey Rublev,Casper Ruud,6-3 7-5
2021-04-12,Monte Carlo Masters,Clay,QF,3,Daniel Evans,David Goffin,5-7 6-3 6-4
2021-04-12,Monte Carlo Masters,Clay,QF,3,Stefanos Tsitsipas,Alejandro Davidovich Fokina,7-5 0-0 RET
2021-04-12,Monte Carlo Masters,Clay,QF,3,Andrey Rublev,Rafael Nadal,6-2 4-6 6-2
2021-04-12,Monte Carlo Masters,Clay,QF,3,Casper Ruud,Fabio Fognini,6-4 6-3
2021-04-12,Monte Carlo Masters,Clay,R16,3,Daniel Evans,Novak Djokovic,6-4 7-5
2021-04-12,Monte Carlo Masters,Clay,R16,3,David Goffin,Alexander Zverev,6-4 7-6(7)
2021-04-12,Monte Carlo Masters,Clay,R16,3,Alejandro Davidovich Fokina,Lucas Pouille,6-2 7-6(2)
2021-04-12,Monte Carlo Masters,Clay,R16,3,Andrey Rublev,Roberto Bautista Agut,7-6(2) 5-7 6-3
2021-04-12,Monte Carlo Masters,Clay,R16,3,Rafael Nadal,Grigor Dimitrov,6-1 6-1
2021-04-12,Monte Carlo Masters,Clay,R16,3,Casper Ruud,Pablo Carreno Busta,7-6(4) 5-7 7-5
2021-04-12,Monte Carlo Masters,Clay,R16,3,Fabio Fognini,Filip Krajinovic,6-2 7-6(1)
2021-04-12,Monte Carlo Masters,Clay,R32,3,Novak Djokovic,Jannik Sinner,6-4 6-2
2021-04-12,Monte Carlo Masters,Clay,R32,3,Daniel Evans,Hubert Hurkacz,6-4 6-1
2021-04-12,Monte Carlo Masters,Clay,R32,3,Alexander Zverev,Lorenzo Sonego,6-3 6-3
2021-04-12,Monte Carlo Masters,Clay,R32,3,Stefanos Tsitsipas,Aslan Karatsev,6-3 6-4
2021-04-12,Monte Carlo Masters,Clay,R32,3,Lucas Pouille,Alexei Popyrin,7-5 2-6 6-3
2021-04-12,Monte Carlo Masters,Clay,R32,3,Alejandro Davidovich Fokina,Matteo Berrettini,7-5 6-3
2021-04-12,Monte Carlo Masters,Clay,R32,3,Roberto Bautista Agut,Tommy Paul,6-3 6-4
2021-04-12,Monte Carlo Masters,Clay,R32,3,Grigor Dimitrov,Jeremy Chardy,7-6(3) 6-4
