Player,725.Rating,726.Rating,727.Rating,728.Rating,729.Rating,730.Rating,731.Rating,732.Rating,733.Rating,734.Rating,735.Rating,736.Rating,737.Rating,738.Rating,739.Rating,740.Rating,741.Rating,742.Rating,743.Rating,744.Rating,745.Rating,746.Rating,747.Rating,748.Rating,749.Rating,750.Rating,751.Rating,752.Rating,753.Rating,754.Rating,755.Rating,756.Rating,757.Rating,758.Rating,759.Rating,760.Rating,761.Rating,762.Rating,763.Rating,764.Rating,765.Rating,766.Rating,767.Rating,768.Rating,769.Rating,770.Rating,771.Rating,772.Rating,773.Rating,774.Rating,775.Rating,776.Rating,777.Rating,778.Rating,779.Rating,780.Rating,781.Rating,782.Rating,783.Rating,784.Rating,785.Rating,786.Rating,787.Rating,788.Rating,789.Rating,790.Rating,791.Rating,792.Rating,793.Rating,794.Rating,795.Rating,796.Rating,797.Rating,798.Rating,799.Rating,800.Rating,801.Rating,802.Rating,803.Rating,804.Rating,805.Rating,806.Rating,807.Rating,808.Rating,809.Rating,810.Rating,811.Rating,812.Rating,813.Rating,814.Rating,815.Rating,816.Rating,817.Rating,818.Rating,819.Rating,820.Rating,821.Rating,822.Rating,823.Rating,824.Rating
Adrian Mannarino,1622.4617468420731,1607.0966163936637,1590.6186072594696,1587.6009494273274,1572.0048909488212,1621.8913195611308,1610.5405344642422,1616.111117040587,1616.111117040587,1616.111117040587,1616.111117040587,1604.356363386127,1580.9759945142316,1581.4040174873187,1581.4040174873187,1564.2154024134356,1548.899330857313,1569.4670893779912,1561.2331090757689,1573.2204358818074,1585.3035887223414,1585.3035887223414,1585.3035887223414,1571.414033731924,1571.414033731924,1571.414033731924,1582.4493071542759,1582.4493071542759,1568.1250420739316,1569.2281061089031,1654.0447034012689,1654.0447034012689,1646.3881501408969,1635.8451551280552,1617.912226661191,1617.912226661191,1603.577210286084,1626.6727448051588,1644.2934352819532,1644.2934352819532,1629.8384353655267,1629.8384353655267,1627.3041390424169,1663.84212472062,1646.1829564047691,1646.1829564047691,1677.5923648979986,1666.9471191732443,1678.3431031569698,1678.3431031569698,1678.3431031569698,1660.4621279219266,1643.5585748902195,1640.1594069340247,1640.613901492192,1629.918059284262,1614.2925026383582,1613.6900728755654,1613.6900728755654,1603.3055248566068,1614.6762088441246,1614.6762088441246,1608.9923094675692,1594.6271513125394,1580.4042526049295,1563.224920193571,1590.819357414838,1606.9236623359998,1629.2798471239107,1651.250821461511,1651.250821461511,1633.4837457312713,1630.9324493797428,1646.761878918451,1639.995010479035,1626.8146737669838,1626.8146737669838,1620.9553972593078,1626.1282942014263,1626.1282942014263,1607.837703442632,1593.605329501062,1593.605329501062,1579.662191580797,1558.5626005355648,1545.7713620399572,1531.2950644794191,1523.149685161165,1509.882497450648,1516.4467633748277,1562.621304376103,1562.7606924795937,1562.7606924795937,1562.7606924795937,1562.7606924795937,1562.7606924795937,1562.7606924795937,1562.7606924795937,1562.7606924795937,1577.8665785780329
Albert Ramos,1557.1490894643196,1557.1490894643196,1573.3837680506147,1576.6830296098135,1564.1853705089566,1568.111256615598,1566.0340662760207,1566.0340662760207,1566.0340662760207,1566.0340662760207,1566.0340662760207,1558.9195894025556,1541.8133087958786,1532.4369409338276,1532.4369409338276,1526.3637705977885,1545.2733012165938,1563.5647575370083,1556.3156899657256,1583.1549780305395,1602.4257433009338,1602.4257433009338,1581.3089431126416,1581.3089431126416,1593.4257023832338,1593.4257023832338,1579.6258658286986,1592.2816988709078,1601.4922458144931,1590.2135193261497,1590.2135193261497,1590.2135193261497,1590.2135193261497,1574.587381731261,1598.4827542211424,1654.406898364367,1690.786758893028,1690.786758893028,1690.786758893028,1678.5728899912788,1667.6593823488847,1667.6593823488847,1667.6593823488847,1693.4955520373865,1679.5869298892553,1691.1865448633341,1691.1865448633341,1683.0679137187221,1683.0679137187221,1683.0679137187221,1683.0679137187221,1683.0679137187221,1681.1903506308306,1658.0627695963772,1659.8564997752962,1648.4221648289847,1632.1093207165684,1627.3494138196418,1627.3494138196418,1627.3494138196418,1625.3380477419444,1605.9237015841572,1597.8935933586292,1584.5669628497726,1588.1772819032906,1582.6567139224667,1568.8215505071728,1568.8215505071728,1554.1775153901683,1554.1775153901683,1554.1775153901683,1554.1775153901683,1545.650019090799,1533.4529187658234,1571.4669729671352,1584.4659144983648,1584.4659144983648,1577.435061934817,1577.435061934817,1594.1500233406443,1591.129415436877,1612.5659031552439,1680.0765497756106,1673.9272810890407,1673.9272810890407,1673.9272810890407,1652.5969620242092,1637.2056399570804,1637.2056399570804,1628.710146142909,1611.4769978080192,1598.1883996028146,1587.8404504833422,1594.3800507270785,1579.17013147736,1579.17013147736,1572.3600095577199,1588.1198081522418,1575.5521064369148,1586.7767410656254
Alejandro Davidovich Fokina,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1419.6996594657958,1419.6996594657958,1419.6996594657958,1738.444380988008,1669.2893514700213,1669.2893514700213,1669.2893514700213,1601.8119037028498,1567.9359218132377,1567.9359218132377,1567.9359218132377,1567.9359218132377,1515.4382790204966,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1490.9591949760652,1470.8790856986166,1494.152375331176,1494.152375331176,1494.152375331176,1448.345174970657,1478.3738695541638,1478.3738695541638,1478.3738695541638,1564.3902913080979,1564.3902913080979,1540.1861651621348,1540.1861651621348,1546.9005119611152,1600.203919558661,1622.4320235247765,1622.4320235247765,1643.670798479115,1643.670798479115,1643.670798479115,1643.670798479115,1643.670798479115,1643.670798479115,1648.7363306417647,1653.2711794319555,1645.1651683593057,1645.440330397846,1645.440330397846,1632.9341348509713,1676.5801871105,1661.1473710930916,1681.1140857736616,1688.8045911487825,1713.9136146323078,1713.9136146323078,1713.9136146323078,1744.5413843077847,1744.5413843077847,1744.5413843077847,1734.5263023402222,1710.037826131692,1710.037826131692,1719.8374499579697,1719.8374499579697,1719.8374499579697,1706.9656366596582,1693.585907627354,1693.585907627354,1665.616313975593
Alex Bolt,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1235.5641167592391,1215.0121568950756,1215.0121568950756,1391.983160985135,1391.983160985135,1391.983160985135,1391.983160985135,1391.983160985135,1391.983160985135,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1445.913972745126,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1417.0257969092324,1503.3259655007537,1547.31247285545,1547.31247285545,1547.31247285545,1547.31247285545,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1530.6969301505785,1580.4957612309838,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1589.5509505980451,1607.3670116107241,1574.9455479636406,1596.3280011446916,1596.3280011446916,1596.3280011446916,1596.3280011446916,1596.3280011446916,1596.3280011446916,1596.3280011446916
Alex De Minaur,1664.0997103302705,1664.0997103302705,1672.983612344691,1674.5469251483548,1685.472037003063,1670.4775764320837,1670.4775764320837,1655.02966766373,1681.1671079517523,1681.1671079517523,1681.1671079517523,1675.2439798743492,1721.9017045237467,1733.837596159414,1736.324900870526,1736.324900870526,1736.324900870526,1736.324900870526,1741.3092809012353,1720.718512364818,1720.718512364818,1720.718512364818,1720.718512364818,1720.718512364818,1720.718512364818,1701.094622040502,1681.1257546094353,1662.510808509537,1662.510808509537,1647.6677423181904,1641.7884052198367,1622.0321581341957,1622.0321581341957,1617.5881730390229,1617.5881730390229,1664.0362292604977,1642.2799222651327,1627.6243739034246,1637.3369632941024,1637.3369632941024,1665.0746070563837,1665.0746070563837,1665.0746070563837,1727.638134114919,1707.0017347785372,1694.3540189151297,1694.3540189151297,1727.091216640258,1736.0837565802565,1736.0837565802565,1768.9044503006878,1773.0105838683085,1773.0105838683085,1773.0105838683085,1773.0105838683085,1773.0105838683085,1773.0105838683085,1752.396086700938,1752.396086700938,1734.80662058027,1762.9539913240983,1762.9539913240983,1738.012010388384,1738.012010388384,1709.788622449381,1709.788622449381,1732.5356656755216,1732.5356656755216,1735.0617887923327,1720.5320047237158,1720.5320047237158,1751.9123220088354,1728.8627596032513,1722.0072516941686,1722.0072516941686,1713.2024989790166,1713.2024989790166,1699.3687216005358,1678.9510599130688,1678.9510599130688,1662.472011097425,1672.1953444602382,1672.1953444602382,1686.087156848824,1665.1035751186976,1665.1035751186976,1665.1035751186976,1654.8052712658857,1641.8755436930142,1676.225421656752,1715.376860029283,1704.82840648533,1704.82840648533,1704.82840648533,1704.82840648533,1683.4600757728076,1666.5752035967066,1662.1848489358406,1662.1848489358406,1645.952656910007
Alexander Bublik,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1543.4574370733094,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1518.789109364349,1567.982821928352,1567.982821928352,1567.982821928352,1567.982821928352,1567.982821928352,1567.982821928352,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1583.147062076063,1596.200038530471,1596.200038530471,1576.7813250606407,1576.7813250606407,1535.5815379484015,1608.7079197404066,1586.8508312610363,1578.40886015174,1578.40886015174,1578.40886015174,1555.2536981039814,1571.711482976402,1571.711482976402,1558.1847151801144,1620.858819986558,1620.858819986558,1608.818477018187,1601.585703717933,1597.1795469751185,1597.1795469751185,1597.1795469751185,1596.4754849055423,1603.3123438406071,1606.7390286896534,1590.671688070758,1595.52295054274,1604.4043910999062,1646.3229640315603,1656.486312829528,1671.4303355046593,1658.547751286838,1646.8833088149693,1625.698969382926,1615.158502519746,1631.4968287926147,1631.9502151954723,1632.3289700416012,1632.3289700416012,1613.0038529055373,1601.355172166513,1601.355172166513,1601.355172166513,1641.7911740464158,1631.5991491569189,1627.976920683287,1646.6604098366506,1653.3316380224674,1647.4815835077875,1650.1201826564677,1671.1417531020309,1671.1417531020309,1660.2809876527415,1661.0964653961596,1640.316815238815,1679.5312025797134,1666.6028404929789,1666.6028404929789,1666.6028404929789,1664.4327707381512,1664.4327707381512,1656.304510063732,1662.4818687791271,1669.4430879217239,1666.4438095510325,1664.5147848511408,1664.5147848511408,1655.9898456982924,1666.4537822620389,1663.0954456447707,1645.2936937486315,1640.5662044412452
Alexander Zverev,1811.1651896992234,1811.1651896992234,1811.1651896992234,1794.265191288356,1815.6301391070197,1815.6301391070197,1804.0961081964692,1802.000026723515,1802.000026723515,1858.6094624585896,1858.6094624585896,1858.6094624585896,1858.6094624585896,1845.0406107815706,1842.5659926309784,1842.5659926309784,1842.5659926309784,1842.5659926309784,1843.3089750931501,1826.149099263454,1797.570241950174,1797.570241950174,1775.1003604281077,1762.8997804512665,1736.2960569077613,1723.8144202498486,1732.2941897974679,1716.0673604582123,1741.0049334207995,1768.8761165886647,1742.059705149253,1738.455944388648,1738.455944388648,1713.9271709717405,1713.9271709717405,1729.0251402620347,1729.0251402620347,1733.2917961128262,1715.680994997555,1715.680994997555,1730.5493887340763,1730.5493887340763,1730.5493887340763,1730.5493887340763,1747.9593221408636,1793.4776142721466,1793.4776142721466,1771.8550117715822,1762.6934420668867,1781.784708375359,1781.784708375359,1747.530997229486,1747.530997229486,1789.4538508840947,1789.4538508840947,1789.4538508840947,1789.4538508840947,1771.0209490620757,1771.0209490620757,1756.2352590207872,1794.2318531406418,1794.2318531406418,1794.2318531406418,1794.2318531406418,1785.0833890327747,1809.3135622802167,1836.961616047712,1836.961616047712,1858.068888709188,1858.068888709188,1846.180420645621,1846.180420645621,1834.185347738521,1842.635946717904,1842.635946717904,1818.9033736591055,1818.9033736591055,1855.5731163411392,1827.8979641807284,1827.8979641807284,1812.4703507260479,1812.4703507260479,1790.474508842534,1855.0044600599176,1851.8205910586503,1851.8205910586503,1851.8205910586503,1864.7442103060357,1864.7442103060357,1842.9026015489005,1842.9026015489005,1833.466649149103,1833.466649149103,1879.511467891414,1879.511467891414,1879.511467891414,1879.511467891414,1919.2717295662078,1919.2717295662078,1927.364272965451
Alexei Popyrin,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1310.9330059505342,1293.4962589040006,1449.853842428083,1449.853842428083,1449.853842428083,1449.853842428083,1449.853842428083,1421.0459662382818,1406.7466480218652,1547.2165053868373,1580.5699623855903,1580.5699623855903,1531.0183160013125,1531.0183160013125,1525.1599584300757,1548.0619634845782,1548.0619634845782,1548.0619634845782,1548.0619634845782,1525.8821160379819,1525.8821160379819,1500.9238954594582,1500.9238954594582,1500.9238954594582,1500.9238954594582,1512.7312281595232,1504.7478416963643,1504.7478416963643,1504.7478416963643,1530.7230072872117,1530.7230072872117,1567.4468758579796,1552.7525774514118,1552.7525774514118,1552.7525774514118,1555.5690447524044,1587.465647738544,1587.465647738544,1587.465647738544,1571.4145821519414,1575.1606443201506,1575.1606443201506,1576.514205380496,1567.8493263083171,1567.8493263083171,1567.8493263083171,1567.8493263083171,1567.8493263083171,1549.2010579154664,1587.612198890867,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1573.9540295301015,1555.7235135815667,1555.7235135815667,1537.2708398324244,1537.2708398324244,1537.2708398324244,1537.2708398324244,1537.2708398324244,1537.2708398324244,1566.7997124915296,1574.409907902449,1638.567110939455,1638.567110939455,1638.567110939455,1634.586647101412,1657.9869827292605,1657.9869827292605,1647.2337266863995,1634.0861281147234,1614.9478230950544,1652.7202290834725,1652.7202290834725,1652.7202290834725,1652.7202290834725,1655.04493467687,1633.1187775409792,1621.0340340358173,1616.124512893318,1607.7347899197264,1607.7347899197264,1607.7347899197264,1589.6458217258823,1583.606998436303,1583.606998436303,1583.606998436303,1588.8830207490078,1605.5639500804339
Aljaz Bedene,1608.2078003257168,1599.414027389855,1599.414027389855,1599.414027389855,1599.414027389855,1595.4561383619748,1595.4561383619748,1595.4561383619748,1595.4561383619748,1595.4561383619748,1595.4561383619748,1586.552688991141,1586.552688991141,1585.9199743682311,1585.9199743682311,1604.9571256002941,1599.4483572558918,1612.8172498746274,1612.8172498746274,1612.8172498746274,1595.2581901147685,1595.2581901147685,1579.004799725404,1569.2998300331133,1571.2751520363458,1571.2751520363458,1571.2751520363458,1571.2751520363458,1571.2751520363458,1566.2822768127746,1556.3818675993957,1570.0218208475926,1570.0218208475926,1565.9205404356956,1576.7909719576849,1576.7909719576849,1576.7909719576849,1576.7909719576849,1576.7909719576849,1576.7909719576849,1599.915365441958,1612.0264453129264,1654.2182097568596,1654.2182097568596,1654.2182097568596,1654.2182097568596,1629.955063578411,1646.1839446809222,1646.1839446809222,1646.1839446809222,1646.1839446809222,1658.6659314213261,1640.2368277844316,1625.6879506909806,1611.6860209298238,1635.1649386741917,1635.7599985621566,1635.7599985621566,1635.7599985621566,1659.7869872466547,1640.49905727841,1640.49905727841,1640.49905727841,1640.49905727841,1652.171801277086,1652.171801277086,1643.5555193004864,1631.0802800539427,1623.7104208942644,1623.7104208942644,1623.7104208942644,1623.7104208942644,1630.7112663883388,1615.8562377257665,1625.308096050566,1625.308096050566,1625.308096050566,1623.8481472029093,1619.8568940688526,1628.0236456250445,1628.0236456250445,1644.8443235917723,1644.8443235917723,1644.8443235917723,1629.0870863980444,1644.855601126125,1631.6520436249527,1628.7465249854163,1628.7465249854163,1614.3448545388092,1603.1185255538683,1628.151240869274,1628.151240869274,1611.659632484484,1611.659632484484,1611.659632484484,1611.659632484484,1611.659632484484,1611.659632484484,1611.659632484484
Andreas Seppi,1590.3305699736109,1590.3305699736109,1573.4063457569773,1559.7967530987537,1567.4634733655826,1608.1497621702258,1614.6801572595377,1614.6801572595377,1614.6801572595377,1614.6801572595377,1614.6801572595377,1598.4755166535253,1659.8719436140645,1661.271179288346,1670.9467424351324,1655.8494081472518,1655.9230687363668,1660.0829218762592,1648.2998745427665,1631.6840595104227,1631.6840595104227,1631.6840595104227,1631.6840595104227,1615.4051043580507,1607.469503643104,1597.6649144622568,1593.553047916874,1588.0986696535,1567.7179893458347,1563.3688342737419,1562.838533061831,1566.0089066964251,1549.3792519059725,1558.1899620745612,1558.1899620745612,1558.1899620745612,1558.1899620745612,1558.1899620745612,1558.1899620745612,1551.4434965057599,1538.5655771324334,1538.5655771324334,1538.5655771324334,1569.7000656217706,1569.7000656217706,1569.7000656217706,1611.7191043182168,1611.7191043182168,1597.4298836719408,1597.4298836719408,1597.4298836719408,1597.4298836719408,1603.6214137683198,1613.6194952287872,1613.6194952287872,1642.909963777521,1642.909963777521,1642.909963777521,1642.909963777521,1642.909963777521,1624.7120995078583,1624.7120995078583,1624.7120995078583,1624.7120995078583,1595.0892263145247,1577.0009543608833,1577.0009543608833,1565.998472610423,1565.998472610423,1565.998472610423,1565.998472610423,1565.998472610423,1546.8721619827747,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1531.675046690435,1525.5031798879977,1537.1882154389398,1537.1882154389398,1537.1882154389398,1560.1491417701616,1550.147777646051,1550.147777646051,1535.3005205501968,1517.037759154063,1522.520548469875,1522.520548469875,1522.520548469875,1514.6155998143659,1549.58010269353
