Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Novak Djokovic,1997.1778945697795,75.31605806150101,1181,984,0,197,5
Rafael Nadal,1951.2147263906372,77.8157407609516,1250,1036,0,214,3
Alexander Zverev,1919.2727316024716,69.80894536451001,420,285,0,135,1
Daniil Medvedev,1892.6688673501906,69.80338829356161,290,197,0,93,1
Stefanos Tsitsipas,1871.3121319840377,68.41700321856882,273,183,0,90,1
Matteo Berrettini,1850.7329043828395,71.90327562115253,165,105,0,60,1
Roger Federer,1835.7187804671191,79.76832788087611,1504,1244,0,260,7
Andrey Rublev,1819.956187436108,69.5242585471635,273,172,0,101,1
Casper Ruud,1805.8515332544937,68.25715268934695,160,98,0,62,1
Pablo Carreno Busta,1802.2722680715717,68.55103189840922,405,226,0,179,0
John Isner,1782.784365110333,68.97005720278136,733,454,0,279,1
Kei Nishikori,1755.7742050897887,68.50839251845474,646,431,0,215,2
Sebastian Korda,1755.6707742718067,74.37790480008833,42,26,0,16,1
Karen Khachanov,1743.2013020614554,66.12509497989261,292,164,0,128,1
Jannik Sinner,1742.820124683219,70.01548738945051,93,57,0,36,1
Hubert Hurkacz,1738.186814664924,69.20372330492884,141,73,0,68,1
Milos Raonic,1733.4232406154467,79.16473985924316,561,377,0,184,4
Felix Auger Aliassime,1732.6664417040583,67.12919840074328,161,91,0,70,1
Cameron Norrie,1732.1139319059307,68.22418371956371,166,88,0,78,1
Ilya Ivashka,1731.1473593769356,68.23263092761215,95,49,0,46,0
Dominic Thiem,1729.1980747492048,74.48236823144023,475,308,0,167,8
Ugo Humbert,1701.6680058861327,68.93142313113204,114,60,0,54,1
Diego Schwartzman,1698.1763508833828,70.02361356923434,349,191,0,158,1
Aslan Karatsev,1695.8939980187777,76.53737056269101,51,27,0,24,1
Stan Wawrinka,1694.9178903941995,72.31481580994115,849,536,0,313,22
Lorenzo Sonego,1694.37061785121,69.14425544857245,122,61,0,61,1
Alejandro Davidovich Fokina,1693.5871645931657,71.60410075923778,71,38,0,33,1
Borna Coric,1690.3107466373483,68.37532325477241,309,166,0,143,23
Nick Kyrgios,1689.9432919937249,80.77141619844188,269,169,0,100,2
Marton Fucsovics,1689.191921533174,71.63589900862537,204,106,0,98,0
Marin Cilic,1689.1621667232796,70.2619140043247,842,540,0,302,0
Carlos Alcaraz Garfia,1688.5493032509166,75.75865512739087,33,19,0,14,0
Reilly Opelka,1687.032755935316,68.7939104457379,125,63,0,62,1
Denis Shapovalov,1682.29511576371,69.94398150642648,227,127,0,100,1
Roberto Bautista Agut,1672.724027402809,69.0964155803026,539,336,0,203,1
Kevin Anderson,1672.581671658383,75.73270620994168,595,352,0,243,1
Andy Murray,1669.6353024060254,80.3705004836811,902,691,0,211,0
Mikael Ymer,1667.5681564606134,70.62303197648126,71,35,0,36,0
Grigor Dimitrov,1666.633621993142,72.36671887456382,564,339,0,225,1
Alex De Minaur,1662.1867602923248,69.43283111358755,177,103,0,74,1
Jeremy Chardy,1660.4119658197064,70.0381005869888,601,299,0,302,5
Frances Tiafoe,1659.445953515504,68.57307421362935,196,87,0,109,0
Cristian Garin,1658.9356159485606,80.4729868779547,33,19,0,14,1
Lorenzo Musetti,1654.5317235351204,79.15435338978862,37,21,0,16,0
Lloyd Harris,1651.5706352266914,69.41988610791019,102,52,0,50,1
Dominik Koepfer,1649.1873192706864,71.92631320741815,62,30,0,32,0
Daniel Evans,1647.8375764714788,70.63482349348808,188,90,0,98,0
Alexander Bublik,1645.3612375872233,68.38329190542443,126,63,0,63,0
Nikoloz Basilashvili,1640.5846337704422,68.58080697383153,252,120,0,132,1
Fabio Fognini,1639.729673371672,69.3787538595162,721,386,0,335,1
Filip Krajinovic,1637.9753794502283,71.20222577352183,192,98,0,94,1
Marcos Giron,1636.4486258972552,71.44711080433053,57,26,0,31,0
Mackenzie McDonald,1634.1056966693939,72.15097799980319,87,37,0,50,1
Laslo Djere,1629.1325471228781,69.23632483394749,148,73,0,75,1
Emil Ruusuvuori,1628.5767737243268,69.68935850005829,58,29,0,29,0
Tommy Paul,1625.8244721960195,71.42964323791655,85,40,0,45,1
Richard Gasquet,1621.471809977113,70.69562525784787,915,564,0,351,0
Taylor Fritz,1621.1577668465354,69.79483601444672,233,117,0,116,1
Vasek Pospisil,1620.7501863893642,74.96828989425644,290,127,0,163,2
Federico Delbonis,1618.685837987557,70.25202687105978,325,154,0,171,0
Gael Monfils,1615.693879135717,72.62834274292554,796,501,0,295,1
Pedro Martinez,1613.7189537652744,73.31821607150901,46,21,0,25,4
Jan Lennard Struff,1612.7642667519779,70.18912885726114,341,158,0,183,0
Jordan Thompson,1612.2206945558717,68.86743564291434,166,74,0,92,0
Aljaz Bedene,1611.6598286906772,70.20711789278481,285,134,0,151,5
Soon Woo Kwon,1602.2241950080565,76.35493917012046,57,27,0,30,0
Jack Sock,1602.159044608958,87.66442839673687,305,170,0,135,3
Philipp Kohlschreiber,1600.7430463445946,78.05484302916663,873,479,0,394,5
David Goffin,1598.4020279407423,75.11572150153908,490,294,0,196,1
John Millman,1597.5056929094492,69.14401159481936,223,101,0,122,2
Alex Bolt,1596.328197873227,89.52409669966767,35,13,0,22,5
Daniel Elahi Galan,1593.6702432229868,79.25751282228796,42,22,0,20,3
Pierre Hugues Herbert,1589.0524636667233,76.66547309821243,213,95,0,118,0
Alexei Popyrin,1588.8835053710184,73.86067210494288,76,32,0,44,0
Steve Johnson,1587.3104828600515,73.01088368909201,360,180,0,180,0
Yannick Hanfmann,1582.2375523925496,74.02948594845114,52,24,0,28,6
Federico Coria,1579.847001321032,75.66418989871991,46,21,0,25,0
Denis Kudla,1579.0845157428919,79.18419051908434,165,60,0,105,0
Egor Gerasimov,1579.078632262747,73.09767359037892,94,54,0,40,0
Sam Querrey,1578.8974815293243,72.12198811133237,700,383,0,317,3
Marco Cecchinato,1578.8160713752359,70.36518882720897,168,65,0,103,0
Gianluca Mager,1575.578865553099,75.97709008556727,43,19,0,24,0
Albert Ramos,1575.5533732468973,70.31850658631706,503,239,0,264,0
Benoit Paire,1569.3766510822227,69.8751212800649,499,236,0,263,0
Dusan Lajovic,1567.8057637129982,70.42341182729311,335,148,0,187,1
Adrian Mannarino,1562.7607931727794,69.46796390555082,467,212,0,255,7
Miomir Kecmanovic,1562.1333716834927,72.00294744781633,104,51,0,53,1
James Duckworth,1561.3990407778742,76.30760879298363,103,37,0,66,0
Jo-Wilfried Tsonga,1559.7610130606533,81.14102853464351,705,471,0,234,7
Peter Gojowczyk,1558.7893258749184,79.48906363171642,147,66,0,81,4
Corentin Moutet,1557.3567242117763,75.10624915830512,73,29,0,44,1
Yoshihito Nishioka,1556.9772211643303,71.30734730733559,164,74,0,90,1
Robin Haase,1556.6357072672517,82.40245685464096,499,229,0,270,23
Andrey Kuznetsov,1555.1697575082305,116.27583143814017,178,79,0,99,17
Roberto Carballes Baena,1553.5673504117099,71.5727622970277,138,61,0,77,5
Matthew Ebden,1552.1786892830346,88.58269312373625,206,79,0,127,5
Pablo Cuevas,1550.8272770379572,74.41444035765173,454,238,0,216,4
Pablo Andujar,1549.156565366965,74.34456116297177,375,153,0,222,5
Ernesto Escobedo,1547.1655118814358,101.89273932079847,49,18,0,31,5
Henri Laaksonen,1546.6874863761357,84.20162644261453,100,41,0,59,6
Guido Pella,1539.1733381696943,75.90515647085518,253,117,0,136,0
Thiago Monteiro,1537.3592235498907,75.07672704420735,132,55,0,77,0
Jiri Vesely,1534.2496954638627,72.24858085262561,284,132,0,152,4
Thanasi Kokkinakis,1533.348396101097,102.38809964528544,77,29,0,48,5
Tennys Sandgren,1532.899413121836,75.75082372981639,116,46,0,70,0
Attila Balazs,1532.5761833007475,85.7577447230622,52,28,0,24,25
Damir Dzumhur,1530.7298651586564,84.14752088784917,251,120,0,131,5
