Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Novak Djokovic,1990.858061464806,77.27202295622557,1149,956,0,193,0
Rafael Nadal,1927.2509160654306,78.22896264555365,1229,1018,0,211,0
Daniil Medvedev,1913.1842733496162,69.65577184352573,260,174,0,86,2
Roger Federer,1906.934623802584,86.44687872029282,1492,1236,0,256,4
Andrey Rublev,1905.1694322177082,67.67934582963746,247,155,0,92,0
Stefanos Tsitsipas,1884.20236747011,67.10482765450725,238,157,0,81,0
Aslan Karatsev,1825.9718446601207,85.68267423855877,31,17,0,14,0
Dominic Thiem,1817.4901754117345,71.2369082988187,466,304,0,162,3
Alexander Zverev,1812.4703507260479,69.37524124841147,387,257,0,130,0
Jannik Sinner,1792.2026562933468,68.23765545448477,68,42,0,26,0
Roberto Bautista Agut,1781.6351819290269,66.3992390562868,517,325,0,192,0
Pablo Carreno Busta,1758.9549418041315,69.86405084937495,374,204,0,170,0
Milos Raonic,1754.653131583485,69.73177093310225,560,377,0,183,2
Grigor Dimitrov,1751.2736485228866,69.5416996172629,552,335,0,217,0
Nick Kyrgios,1743.3798199275952,78.54895683214082,262,166,0,96,7
Matteo Berrettini,1732.9089827771595,74.01603935448277,134,79,0,55,0
Daniel Evans,1731.2133808845526,67.9457818972517,171,83,0,88,0
Hubert Hurkacz,1725.8129446242249,68.13014490205529,122,63,0,59,0
Casper Ruud,1724.6631270479413,68.49849235090133,123,68,0,55,0
Marton Fucsovics,1721.5356903092568,68.12057492472013,186,97,0,89,0
Diego Schwartzman,1701.7776135621964,70.42585936389513,327,178,0,149,0
Jeremy Chardy,1701.5686563982113,69.2641801798858,585,292,0,293,0
Stan Wawrinka,1694.9178903941995,72.31481580994115,849,536,0,313,4
Denis Shapovalov,1693.1106434437718,68.11699017338019,200,111,0,89,2
Borna Coric,1690.3107466373483,68.37532325477241,309,166,0,143,5
Vasek Pospisil,1690.1521405792453,72.6037525389653,280,123,0,157,2
Karen Khachanov,1685.8815030566363,68.33591431716624,264,147,0,117,0
Marcelo Arevalo,1683.8931054125544,128.10810872834472,41,24,0,17,22
Andy Murray,1683.714441615344,80.60532787240572,893,686,0,207,5
Kevin Anderson,1681.177002348701,76.39751701089472,581,344,0,237,2
Lorenzo Sonego,1679.077898329612,67.41000833874956,100,48,0,52,0
Filip Krajinovic,1678.3878034206284,72.59056720792869,172,88,0,84,0
Christian Garin,1677.9621153947965,68.81200194620024,112,60,0,52,13
Alejandro Davidovich Fokina,1676.5801871105,71.76039818983608,48,25,0,23,0
Kei Nishikori,1675.8322345433915,72.67238267259927,619,413,0,206,2
David Goffin,1675.3064590746255,67.9689194191111,482,292,0,190,0
Gael Monfils,1668.6835637806198,74.32457366514231,779,494,0,285,7
John Isner,1666.917010812461,74.28916747581447,709,436,0,273,2
Felix Auger Aliassime,1666.554683709319,68.3394993004663,131,73,0,58,0
Lloyd Harris,1665.3673688010033,68.9458627066688,79,41,0,38,2
Alex De Minaur,1662.472011097425,70.18128811060899,154,90,0,64,0
Egor Gerasimov,1660.2841391724758,69.83693751889962,80,49,0,31,1
Alexander Bublik,1660.2809876527415,66.77709024573561,99,50,0,49,0
Ugo Humbert,1658.95362573576,70.3783377549962,90,47,0,43,0
Taylor Fritz,1655.1875193772466,67.73947945045325,215,108,0,107,0
Jo-Wilfried Tsonga,1652.258444328057,80.85245009699662,700,471,0,229,3
Frances Tiafoe,1651.8742427913724,68.65567745746793,174,76,0,98,2
