Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Novak Djokovic,2018.460220178694,73.53269320357785,1147,955,0,192,5
Rafael Nadal,1939.6365653356397,76.11815388768666,1226,1016,0,210,5
Daniil Medvedev,1913.1842733496162,69.65577184352573,260,174,0,86,0
Roger Federer,1906.934623802584,86.44687872029282,1492,1236,0,256,2
Andrey Rublev,1890.7677299679433,68.0987831315985,242,151,0,91,0
Stefanos Tsitsipas,1841.8317986196662,67.55679216616461,233,152,0,81,0
Alexander Zverev,1827.8979641807284,68.74172685077565,385,256,0,129,0
Dominic Thiem,1817.4901754117345,71.2369082988187,466,304,0,162,1
Jannik Sinner,1791.1004206144612,67.18184645717292,66,41,0,25,0
Roberto Bautista Agut,1776.3385018244412,65.91255378574479,514,323,0,191,0
Matteo Berrettini,1755.7836924270182,69.9730602686202,133,79,0,54,5
Milos Raonic,1754.653131583485,69.73177093310225,560,377,0,183,0
Nick Kyrgios,1743.3798199275952,78.54895683214082,262,166,0,96,5
Hubert Hurkacz,1740.0102544920203,67.2130109144273,120,62,0,58,0
Marton Fucsovics,1738.5014798593922,67.15998532131573,185,97,0,88,0
Pablo Carreno Busta,1737.162690677688,71.20244594494467,367,198,0,169,1
Grigor Dimitrov,1735.9182103764444,69.80268565450804,549,333,0,216,0
Diego Schwartzman,1717.7763698672672,69.71007246500838,326,178,0,148,0
Jeremy Chardy,1701.3299328734363,69.19264397047635,583,291,0,292,0
Casper Ruud,1697.7815934110404,70.0438491287791,116,63,0,53,1
Stan Wawrinka,1694.9178903941995,72.31481580994115,849,536,0,313,2
Denis Shapovalov,1693.1106434437718,68.11699017338019,200,111,0,89,0
Borna Coric,1690.3107466373483,68.37532325477241,309,166,0,143,3
Vasek Pospisil,1690.1521405792453,72.6037525389653,280,123,0,157,0
Daniel Evans,1686.5995750650839,69.37752688485357,165,79,0,86,0
Karen Khachanov,1684.9982958574856,68.02724937439945,262,146,0,116,0
Marcelo Arevalo,1683.8931054125544,128.10810872834472,41,24,0,17,20
Andy Murray,1683.714441615344,80.60532787240572,893,686,0,207,3
Felix Auger Aliassime,1683.2696488527488,67.19365004542746,130,73,0,57,0
Kevin Anderson,1681.177002348701,76.39751701089472,581,344,0,237,0
Filip Krajinovic,1680.8697994294646,72.8315919495064,169,86,0,83,1
Ugo Humbert,1679.7449701983423,69.51641933903821,89,47,0,42,0
Alex De Minaur,1678.9510599130688,69.42535908147751,153,90,0,63,0
Christian Garin,1677.9621153947965,68.81200194620024,112,60,0,52,11
Kei Nishikori,1675.8322345433915,72.67238267259927,619,413,0,206,0
Alexander Bublik,1671.1417531020309,65.73080594202978,98,50,0,48,0
Gael Monfils,1668.6835637806198,74.32457366514231,779,494,0,285,5
John Isner,1666.917010812461,74.28916747581447,709,436,0,273,0
Egor Gerasimov,1666.2228758357967,69.7666447733239,78,48,0,30,1
Marin Cilic,1665.3852006109255,70.387272973836,814,523,0,291,0
Lloyd Harris,1665.3673688010033,68.9458627066688,79,41,0,38,0
Taylor Fritz,1661.5272144280937,67.94821826948808,211,106,0,105,0
Alexei Popyrin,1657.9869827292605,73.28730417739371,58,26,0,32,0
Jo-Wilfried Tsonga,1652.258444328057,80.85245009699662,700,471,0,229,1
Frances Tiafoe,1651.8742427913724,68.65567745746793,174,76,0,98,0
Jerzy Janowicz,1649.7688080647185,127.28197487678749,198,102,0,96,20
Pierre Hugues Herbert,1648.7375895511127,71.27306033727201,203,92,0,111,0
David Goffin,1646.2204445908865,68.68974052431156,478,289,0,189,0
Alejandro Davidovich Fokina,1645.440330397846,74.67328601425292,42,21,0,21,1
Kyle Edmund,1639.4595022786943,71.48496895483154,234,118,0,116,12
Fabio Fognini,1633.7364138293308,71.66632695951463,694,372,0,322,0
Lucas Pouille,1631.1196926048,85.86163447309266,243,133,0,110,2
Miomir Kecmanovic,1629.7637454918647,69.00360692212807,87,46,0,41,0
Adrian Mannarino,1626.1282942014263,67.69037924616467,452,208,0,244,0
Emil Ruusuvuori,1625.8635764398848,76.49171135297738,38,19,0,19,0
Richard Gasquet,1625.6190286843455,73.09931998745935,892,552,0,340,1
Nicolas Mahut,1625.0215010840038,101.88416405573396,407,181,0,226,6
Jan Lennard Struff,1622.1756357175773,69.53071835390028,312,144,0,168,0
